search(800 sims, branch=24, eval=material, net) vs search(800 sims, branch=24, eval=material) | 200 matches | parties:39,43,14,42 teams | 10 workers
  1/200  1-1  ~7613s left
  9/200  10-8  ~1569s left
  16/200  16-16  ~1225s left
  21/200  21-20  ~1178s left
  30/200  31-28  ~985s left
  35/200  36-32  ~987s left
  44/200  48-37  ~879s left
  51/200  58-41  ~813s left
  57/200  61-50  ~777s left
  64/200  70-55  ~724s left
  71/200  79-59  ~682s left
  78/200  84-67  ~637s left
  83/200  90-71  ~619s left
  90/200  102-73  ~575s left
  98/200  110-81  ~523s left
  105/200  117-87  ~489s left
  112/200  125-93  ~450s left
  116/200  130-96  ~439s left
  125/200  138-106  ~382s left
  131/200  145-111  ~354s left
  138/200  150-120  ~316s left
  142/200  152-125  ~301s left
  151/200  160-135  ~249s left
  157/200  169-138  ~224s left
  164/200  178-142  ~188s left
  171/200  190-144  ~151s left
  174/200  193-147  ~138s left
  183/200  197-161  ~90s left
  189/200  206-164  ~58s left
  197/200  213-173  ~16s left
  200/200  213-179  ~0s left

  213-179 (8 drawn) over 392 decided games
  54.3% [49.4%, 59.2%]
  not separable from the handcrafted search.
