search(800 sims, branch=24, eval=material) vs search(800 sims, branch=24, eval=material) | 400 matches | parties teams | 10 workers
  6/400  7-5  ~2286s left
  17/400  20-14  ~1660s left
  26/400  31-21  ~1552s left
  37/400  46-28  ~1373s left
  49/400  63-35  ~1232s left
  58/400  74-42  ~1196s left
  68/400  85-51  ~1152s left
  79/400  98-60  ~1086s left
  90/400  109-70  ~1027s left
  99/400  122-75  ~1006s left
  110/400  136-83  ~956s left
  117/400  146-87  ~957s left
  123/400  155-90  ~960s left
  133/400  167-98  ~930s left
  142/400  179-104  ~901s left
  153/400  194-111  ~851s left
  165/400  208-121  ~811s left
  176/400  225-126  ~763s left
  185/400  235-134  ~734s left
  195/400  246-143  ~698s left
  203/400  259-146  ~678s left
  213/400  276-149  ~642s left
  225/400  292-157  ~599s left
  235/400  306-163  ~564s left
  248/400  325-169  ~511s left
  255/400  334-174  ~494s left
  263/400  345-179  ~469s left
  274/400  359-187  ~430s left
  281/400  367-192  ~410s left
  289/400  381-193  ~383s left
  298/400  396-196  ~353s left
  306/400  408-200  ~326s left
  317/400  423-207  ~287s left
  328/400  440-211  ~248s left
  337/400  454-214  ~218s left
  346/400  467-219  ~188s left
  354/400  477-225  ~161s left
  366/400  492-234  ~118s left
  377/400  508-240  ~80s left
  388/400  523-247  ~42s left
  399/400  537-255  ~3s left
  400/400  537-257  ~0s left

  537-257 (6 drawn) over 794 decided games
  67.6% [64.3%, 70.8%]
  stronger than the handcrafted search.
