search(800 sims, branch=24, eval=material) vs search(800 sims, branch=24, eval=material) | 400 matches | parties teams | 10 workers
  4/400  5-3  ~3074s left
  14/400  17-11  ~1781s left
  25/400  30-20  ~1464s left
  36/400  46-26  ~1385s left
  46/400  61-31  ~1287s left
  56/400  74-38  ~1215s left
  66/400  84-48  ~1161s left
  76/400  96-56  ~1121s left
  87/400  110-63  ~1056s left
  96/400  121-70  ~1033s left
  108/400  137-78  ~976s left
  116/400  148-83  ~971s left
  123/400  159-86  ~971s left
  133/400  170-95  ~929s left
  141/400  180-101  ~909s left
  151/400  194-107  ~866s left
  165/400  211-118  ~812s left
  176/400  228-123  ~764s left
  185/400  238-131  ~733s left
  195/400  249-140  ~699s left
  206/400  267-144  ~659s left
  214/400  280-147  ~636s left
  225/400  296-153  ~594s left
  235/400  309-160  ~561s left
  249/400  329-167  ~507s left
  256/400  339-171  ~489s left
  267/400  353-179  ~451s left
  276/400  364-186  ~421s left
  284/400  376-188  ~396s left
  292/400  391-189  ~371s left
  299/400  402-192  ~349s left
  311/400  420-198  ~305s left
  320/400  432-204  ~274s left
  330/400  447-208  ~239s left
  337/400  458-210  ~217s left
  346/400  471-215  ~186s left
  354/400  481-221  ~159s left
  365/400  496-228  ~121s left
  374/400  510-232  ~90s left
  384/400  523-239  ~55s left
  396/400  539-247  ~14s left
  400/400  542-252  ~0s left

  542-252 (6 drawn) over 794 decided games
  68.3% [64.9%, 71.4%]
  stronger than the handcrafted search.
