search(800 sims, branch=24, eval=material, net) vs search(800 sims, branch=24, eval=material) | 200 matches | parties:43 teams | 19 workers
  1/200  2-0  ~10814s left
  6/200  6-6  ~2764s left
  11/200  8-13  ~2208s left
  19/200  15-22  ~1555s left
  32/200  29-34  ~1052s left
  37/200  36-37  ~1130s left
  45/200  45-44  ~1001s left
  52/200  49-54  ~913s left
  59/200  56-61  ~862s left
  66/200  63-68  ~795s left
  70/200  67-72  ~800s left
  78/200  77-78  ~741s left
  83/200  82-82  ~719s left
  93/200  90-94  ~625s left
  98/200  94-100  ~597s left
  107/200  103-109  ~526s left
  115/200  111-117  ~473s left
  120/200  115-123  ~446s left
  126/200  123-127  ~412s left
  133/200  129-135  ~375s left
  144/200  139-147  ~303s left
  149/200  141-155  ~278s left
  159/200  148-168  ~218s left
  165/200  155-173  ~186s left
  174/200  165-181  ~136s left
  177/200  168-184  ~122s left
  183/200  173-191  ~90s left
  190/200  180-198  ~53s left
  197/200  188-204  ~16s left
  200/200  190-208  ~0s left

  190-208 (2 drawn) over 398 decided games
  47.7% [42.9%, 52.6%]
  not separable from the handcrafted search.
