search(800 sims, branch=24, eval=material, net) vs search(800 sims, branch=24, eval=material) | 200 matches | parties:43 teams | 19 workers
  1/200  0-2  ~6555s left
  7/200  2-12  ~1792s left
  15/200  8-22  ~1172s left
  21/200  15-27  ~1143s left
  29/200  23-35  ~990s left
  38/200  30-45  ~884s left
  49/200  39-58  ~742s left
  51/200  40-61  ~814s left
  60/200  45-74  ~736s left
  68/200  49-86  ~683s left
  75/200  56-93  ~638s left
  82/200  63-100  ~595s left
  88/200  69-106  ~568s left
  94/200  72-115  ~539s left
  104/200  78-129  ~472s left
  110/200  82-137  ~444s left
  116/200  87-144  ~418s left
  124/200  90-157  ~374s left
  132/200  98-165  ~332s left
  136/200  101-170  ~319s left
  144/200  107-179  ~280s left
  154/200  117-189  ~224s left
  162/200  119-203  ~184s left
  168/200  124-210  ~155s left
  174/200  128-218  ~127s left
  184/200  135-230  ~77s left
  191/200  140-239  ~43s left
  198/200  148-245  ~10s left
  200/200  149-248  ~0s left

  149-248 (3 drawn) over 397 decided games
  37.5% [32.9%, 42.4%]
  weaker than the handcrafted search, and separably so.
